"MIDF","females","males","MIDM","wing_dateF","wing_dateM","ageF","ageM","agediff"
"114","1016","1557.5","16","9.23.21","9.24.21",35,34,1
"114","1111","1273","16","9.25.21","9.25.21",33,33,0
"114","1235","1302","16","9.25.21","9.25.21",33,33,0
"114","1208","1305","16","9.27.21","10.04.21",31,24,7
"114","1017","1560.5","16","9.22.21","9.25.21",36,33,3
"114","1570","1319","16","9.26.21","9.29.21",32,29,3
"114","1105","1688","16","9.21.21","9.28.21",37,30,7
"114","1244","1260","16","9.25.21","9.29.21",33,29,4
"114","1225","1287","16","9.28.21","9.27.21",30,31,-1
"114","1252","1322","16","9.27.21","10.04.21",31,24,7
"114","1212","1292","16","10.01.21","9.27.21",27,31,-4
"114","1121","1293","16","9.26.21","9.29.21",32,29,3
"114","1013","1564","16","9.29.21","9.30.21",29,28,1
"114","1113","1042","16","9.28.21","9.21.21",30,37,-7
"114","1206","1307","16","9.25.21","9.30.21",33,28,5
"114","1233","1689","16","9.25.21","9.28.21",33,30,3
"114","1123","1065","16","9.27.21","9.26.21",31,32,-1
"114","1544","1318","16","9.27.21","9.28.21",31,30,1
"114","1011","1315","16","9.22.21","10.01.21",36,27,9
"114","1214","1685","16","10.04.21","10.04.21",24,24,0
