MIDF,females,males,MIDM,wing_dateF,wing_dateM,ageF,ageM,agediff,pairID
114,1109,1319,16,9.21.21,9.29.21,37,29,8,P1
114,1570,1060,16,9.26.21,9.25.21,32,33,-1,P2
114,1113,1285,16,9.28.21,9.27.21,30,31,-1,P3
114,1121,1039,16,9.26.21,9.27.21,32,31,1,P4
114,1011,1302,16,9.22.21,9.25.21,36,33,3,P5
114,1105,1065,16,9.21.21,9.26.21,37,32,5,P6
114,1013,1564,16,9.29.21,9.30.21,29,28,1,P7
114,1111,1042,16,9.25.21,9.21.21,33,37,-4,P8
114,1235,1260,16,9.25.21,9.29.21,33,29,4,P9
114,1225,1560.5,16,9.28.21,9.25.21,30,33,-3,P10
114,1544,1287,16,9.27.21,9.27.21,31,31,0,P11
114,1233,1318,16,9.25.21,9.28.21,33,30,3,P12
114,1123,1305,16,9.27.21,10.04.21,31,24,7,P13
114,1118,1335,16,9.21.21,9.26.21,37,32,5,P14
114,1252,1322,16,9.27.21,10.04.21,31,24,7,P15
114,1212,1292,16,10.01.21,9.27.21,27,31,-4,P16
114,1208,1293,16,9.27.21,9.29.21,31,29,2,P17
114,1016,1053,16,9.23.21,9.25.21,35,33,2,P18
114,1017,1329,16,9.22.21,9.27.21,36,31,5,P19
114,1244,1689,16,9.25.21,9.28.21,33,30,3,P20
