"MIDF","females","males","MIDM","wing_dateF","wing_dateM","ageF","ageM","agediff"
"114","1109","1335","16","10.01.21","9.24.21",31,38,-7
"114","1244","1060","16","9.27.21","9.29.21",35,33,2
"114","1225","1689","16","10.01.21","10.13.21",31,19,12
"114","1118","1560.5","16","9.25.21","10.05.21",37,27,10
"114","1105","1318","16","9.25.21","9.28.21",37,34,3
"114","1011","1307","16","9.21.21","9.25.21",41,37,4
"114","1123","1305","16","9.26.21","9.26.21",36,36,0
"114","1214","1292","16","9.29.21","10.04.21",33,28,5
"114","1235","1564","16","9.24.21","10.04.21",38,28,10
"114","1113","1322","16","9.28.21","9.29.21",34,33,1
"114","1206","1560","16","9.25.21","10.01.21",37,31,6
"114","1252","1329","16","10.04.21","10.14.21",28,18,10
"114","1208","1039","16","9.30.21","9.27.21",32,35,-3
"114","1016","1042","16","9.28.21","9.21.21",34,41,-7
"114","1017","1300","16","9.21.21","9.24.21",41,38,3
"114","1111","1053","16","10.04.21","9.26.21",28,36,-8
"114","1013","1065","16","9.25.21","9.22.21",37,40,-3
"114","1544","1047","16","10.07.21","9.25.21",25,37,-12
"114","1121","1312","16","9.26.21","9.28.21",36,34,2
"114","1570","1319","16","10.07.21","9.28.21",25,34,-9
