"MIDF","females","males","MIDM","wing_dateF","wing_dateM","ageF","ageM","agediff"
"114","1118","1256","16","9.21.21","9.29.21",35,27,8
"114","1016","1053","16","9.23.21","9.25.21",33,31,2
"114","1017","1300","16","9.22.21","9.30.21",34,26,8
"114","1225","1268","16","9.28.21","9.23.21",28,33,-5
"114","1233","1305","16","9.25.21","10.04.21",31,22,9
"114","1121","1292","16","9.26.21","9.27.21",30,29,1
"114","1570","1318","16","9.26.21","9.29.21",30,27,3
"114","1544","1558.5","16","9.27.21","9.26.21",29,30,-1
"114","1011","1302","16","9.22.21","9.25.21",34,31,3
"114","1542","1322","16","9.26.21","9.27.21",30,29,1
"114","1212","1689","16","10.01.21","9.28.21",25,28,-3
"114","1244","1272","16","9.25.21","9.22.21",31,34,-3
"114","1235","1273","16","9.25.21","9.25.21",31,31,0
"114","1208","1560.5","16","9.27.21","9.28.21",29,28,1
"114","1113","1287","16","9.28.21","9.27.21",28,29,-1
"114","1214","1564","16","10.04.21","9.30.21",22,26,-4
"114","1252","1039","16","9.27.21","9.27.21",29,29,0
"114","1123","1307","16","9.27.21","9.30.21",29,26,3
"114","1109","1293","16","9.21.21","9.29.21",35,27,8
"114","1206","1260","16","9.25.21","9.29.21",31,27,4
